season,date,team1,team2,city
2021,9/19/2021,MI,CSK,Dubai (DSC)
2021,9/20/2021,KKR,RCB,Abu Dhabi
2021,9/21/2021,KXIP,RR,Dubai (DSC)
2021,9/22/2021,DC,SRH,Dubai (DSC)
2021,9/23/2021,KKR,MI,Abu Dhabi
2021,9/24/2021,RCB,CSK,Sharjah
2021,9/25/2021,DC,RR,Abu Dhabi
2021,9/25/2021,SRH,KXIP,Sharjah
2021,9/26/2021,CSK,KKR,Abu Dhabi
2021,9/26/2021,RCB,MI,Dubai (DSC)
2021,9/27/2021,SRH,RR,Dubai (DSC)
2021,9/28/2021,KKR,DC,Sharjah
2021,9/28/2021,KXIP,MI,Abu Dhabi
2021,9/29/2021,RCB,RR,Dubai (DSC)
2021,9/30/2021,SRH,CSK,Sharjah
2021,10/01/2021,KXIP,KKR,Dubai (DSC)
2021,10/02/2021,MI,DC,Sharjah
2021,10/02/2021,CSK,RR,Abu Dhabi
2021,10/03/2021,RCB,KXIP,Sharjah
2021,10/03/2021,SRH,KKR,Dubai (DSC)
2021,10/04/2021,DC,CSK,Dubai (DSC)
2021,10/05/2021,RR,MI,Sharjah
2021,10/06/2021,RCB,SRH,Abu Dhabi
2021,10/07/2021,CSK,KXIP,Dubai (DSC)
2021,10/07/2021,KKR,RR,Sharjah
2021,10/08/2021,SRH,MI,Abu Dhabi
2021,10/08/2021,DC,RCB,Dubai (DSC)
